承上下求索志 绘春秋振兴图 　　
笑看文苑群芳斗妍 喜听艺坛百鸟争鸣 　　 
推剪刮剃使您满意 烫吹洗理令尔称心 　　 
政通人和百废俱兴 春暖花开千山呈荣 　　 
一派生机阳春有脚 漫天异彩浩气腾胸 　　 
大地欢欣春回有意 前程广远日进无疆 　　 
旭日祥云千门竞盛 春风化雨万物争荣 　　 
芙蓉国里春风送暖 长征路上战鼓催征 　　 
不耻相师请教四海 真诚待人结交五洲 　　 
百万雄师铜墙铁壁 十亿人民协力同心 　　 
祖国建设蒸蒸日上 工农生产欣欣向荣 　　
日暖神州光辉万里 春回大地气象一新 　　 
芙蓉国里千枝竞秀 凯歌声中万马奔腾 　　 
四季力争工农两旺 红旗高举上下齐心 　　 
莫道今朝仓盈廪满 更望来年家富人足 　　
雷锋之花常开不败 共产新风永昌不休 　　 
千里马行望尘莫及 一声虎啸逐电如风 　　 
保持劳动人民本色 树立无产阶级新风 　　 
经营有方生意兴旺 服务周到顾客盈门 　　 
发奋图强百业兴隆 安定团结举国呈祥 　　 
劳动致富致富有理 勤俭发家发家光荣 　　 
北斗光明春台起凤 南溟壮阔羊角搏鹏 　　 
碧草白羊三春图画 金戈铁马万里征途 　　 
福鹿吉羊三元开泰 尧天舜日万象更新 　　 
过佳节方知红日暖 度阳春倍觉党恩深 　　 
立志当怀虎胆驰骋 求知莫畏羊肠扶摇 　　 
绿草如茵羊盈瑞气 红桃似火猴沐春风 　　 
时雨春风五羊献穗 尧天舜日百凤朝阳 　　 
送马年春花融白雪 迎羊岁喜鹊闹红梅 　　 
万象更新山青水秀 五羊献瑞日丽春华 　　 
一派生机阳春映日 满天焕彩浩气腾云 　　
倡廉反腐清风两袖 知耻明荣正气满腔 　　 
春满人间百花吐艳 福临小院四季常安 　　 
佳节迎春春生笑脸 丰收报喜喜上眉梢 　　 
辞旧岁革除旧习惯 迎新春描绘新蓝图 　　 
发展安定团结形势 完成经济调整任务 　　 
锦绣前程千帆竞渡 长征路上万马奔腾 　　 
壮志凌云红心向党 春风送暖瑞气盈门 　　 
军爱民同心干四化 民拥军并肩保国防 　　 
手握五尺严阵以待 胸怀四化众志成城 　　 
面向世界虚怀请教 脚踏实地循序渐进 　　 
万象更新精神焕发 百花齐放春满人间 　　 
服务周到群众满意 态度和善顾客称心 　　 
万紫千红百花争艳 五湖四海一体同春 　　 
科学春天百花齐放 人间美景四化宏图 　　 
加强社会主义法制 坚持人民民主专政 
九州日月开春景 四海笙歌颂狗年 　　
子夜鐘声扬吉庆 狗年爆竹报平安 　　
三多竹叶雄鸡画 五福梅花义犬描 　　
小犬有知嫌路窄 大鹏展翅恨天地 
天狗下凡春及第 财神驻足喜盈门 　　
丰年富足人欢笑 盛世平安犬不惊 　　
犬守家门门有喜 毫敷毛笔笔生花 　　
犬守门庭何叫苦 马驰远路不辞难 　　
犬爱穷家天下贵 凤毛麟角世间稀 　　
犬效丰年家家富 鸡鸣盛世处处春 　　
犬画红梅臻五福 鸡题翠竹报三多 　　
犬吠鸡鸣春灿灿 鶯歌燕舞日瞳瞳 　　
犬吠鸡鸣春灿烂 鶯歌燕舞景妖嬈 　　
犬踏霜桥迎五福 鸡登雪石报三多 　　
犬卧宅阶知地暖 鹊登梅萼报春新 　　
犬卧阶前知地暖 鹊登梅上唱春明 　　
犬看门户民长泰 法治国家世永春 　　
犬能守夜户常泰 人若忘恩天不容 　　
日新月异雄鸡去 国泰民安玉犬来 　　
日新月异鸡报晓 岁吉年祥狗看门 　　
月明松下房櫳静 日照云中鸡犬喧 　　
月明柳下虫鱼静 日照人间鸡犬喧 　　
月异日新鸡报晓 年祥岁吉犬开门 　　
风流壹代玩狮夜 气象千端入犬年 　　
方观竹叶舒鸡爪 又赏梅花印犬蹄 　　
四季平安黄犬誉 九州锦绣玉龙飞 　　
龙翔华夏迎新岁 气搏云天奋犬年 　　
戌犬腾欢迎胜利 酉鸡起舞庆荣归 　　
戌岁兆丰千囤满 狗年祝福四时安 　　
戌时火树银花夜 狗岁丰衣足食人 　　 　　
戌岁兆丰百事顺 狗年祝福四时寧 　　
当於鸡鸣常起舞 莫为狗茍总偷安 　　
兴邦当立鯤鹏誌 报国应效犬马劳 　　
名犬如今成宠物 长虫自古是佳肴 　　
年逢大有牛羊壮 国步小康鸡犬寧 　　
报晓司晨辞旧岁 尽忠守夜接新班 　　
鸡声笛韵祥云灿 犬跡梅花瑞雪飞 　　
鸡去瑶池传喜讯 犬来大地报春意 　　
鸡利事家家乐 犬岁发财户户欢 　　
鸡鸣天上登仙境 犬吠人间入宝山 　　
鸡鸣天上登仙境 犬入云中唤宝山 　　
国富民强缘改革 鸡鸣犬吠报升平 　　
奋发仍需鸡报晓 平安何用犬防宵 　　
狗为宠物成时尚 鹊报福音过大年 　　
狗来富裕猫来贵 鹤舞寿松燕舞春 　　
狗看门户喜无恙 人积粮棉岁有余 　　
狗护壹门喜无恙 人勤四季庆有余 　　
春风六九观狮舞 气象万千乐狗年 　　
春光明媚燕鶯舞 社会文明鸡犬寧 　　
神犬仰天迎旭日 雄鸡昂首唱丰年 　　
神犬看门门户泰 宏鐘警世世风清 　　
柳浪闻鶯千里秀 春臺卧犬万家安 　　
喜引春风拂绿柳 笑迎玉犬送金鸡 　　
雄犬偏能欺得虎 黄沙自可变成金 　　
辞旧灵鸡歌日丽 迎新瑞犬报年丰 　　
锦鸡报捷摇金步 黄犬迎春跃玉阶 　　
疏柳鸣鶯千谷静 新春卧犬壹村安 　　
满门结彩春花放 举世澄明玉犬来 　　
稔岁金鸡舒健羽 新春义犬守华门 　　
瑞雪翩翩丰收景 犬蹄朵朵报春花 　　
瑞雪翩翩兆稔景 犬蹄朵朵报春花 　　
新年伊始山川秀 王犬初临日月长 　　
新春玉犬门前卧 华夏金龙天外飞 　　
鹤鸣松柏人丁旺 犬守门庭社稷安 　　
鼠因仓固潜踪云 犬为世寧放胆眠
雄鸡歌盛世 爆竹奏凯歌 　　
燕舞江山秀 鸡鸣日月新 　　
燕舞春光丽 鸡鸣国色娇 　　
猴辟小康路 鸡臻大有年 　　
春唤千山醒 鸡鸣万户开 　　
闻鸡人起舞 放鸽世和平 　　
鹿鹤同春日 鸡羊大福年 　　
红鸡啼夜晓 黄犬吠年丰 　　
鸡叫霜晨月 人迎世纪春 　　
鸡声窗前月 人笑福里春 　　
鸡声天下曙 春意海南潮 　　
鸡声催晓读 鸟语唤春耕 　　
鸡声堪唱晓 花月可留春 　　
红鸡啼夜晓 黄犬吠年丰 　　
猴引康庄道 鸡迎锦绣春 　　
鸡鸣天放晓 政改地回春 　　 　　
鸡声窗前月 人笑福里春 　　
鸡声催晓读 鸟语唤春耕 　　
鸡声天下曙 春意海南潮 　　
金鸡日独立 紫燕春双飞 　　
金鸡迎曙色 玉兔揽春光 　　
闻鸡欢起舞 跃马喜迎春 　　
知廉标五德 报午必三鸣 　　
鸡鸣春富贵 鹊报岁平安 　　
鸡鸣一日首 梅绽百花前 　　
鸡鸣大地醒 鹊报满园春 　　
鸡鸣万户晓 燕舞四时春 
